Author,Year,Total,No_Res,Surv_to_Adm,Sur_to_Dis,Surv_Rate_Dis,c_year
Wilson,1984,126,0,28,11,8.7,1985
Smith,1985,893,0,79,29,3.2,1985
Aprahamanian,1986,319,126,94,42,13.2,1985
Bachman,1986,512,,24,14,2.7,1985
Bonnin,1989,232,7,56,22,9.5,1985
Becker,1991,3221,,241,55,1.7,1990
Brison,1992,1510,,143,38,2.5,1990
Bonnin,1993,1461,0,,92,6.3,1990
Kellermann,1993,1068,0,267,85,8,1990
Pepe,1993,2404,0,,193,8,1990
Richless,1993,96,0,14,3,3.1,1990
Tresch,1993,196,0,37,10,5.1,1990
Van_der_Hoeven,1993,257,0,39,6,2.3,1990
Kass,1994,599,0,113,24,4,1990
Lombardi,1994,2329,,,52,2.2,1990
Schneider,1994,211,125,50,19,9,1990
Crone,1995,1069,0,240,135,12.6,1995
Hodgetts,1995,100,82,,2,2,1995
Rainer,1995,455,0,105,52,11.4,1995
Giraud,1996,113,146,22,8,7.1,1995
Killien,1996,78,2,31,17,21.8,1995
Kuisma,1996,255,68,98,44,17.3,1995
Adams,1997,8651,,,612,7.1,1995
Fischer,1997,464,82,185,74,15.9,1995
Kuisma,1997,162,43,45,8,4.9,1995
Mitchell,1997,275,,,27,9.8,1995
Stapczynski,1997,311,0,46,19,6.1,1995
Valenzuela,1997,7635,0,,1086,14.2,1995
Valenzuela,1997,665,0,,46,6.9,1995
De_Vreede,1998,288,350,,47,16.3,1995
Joyce,1998,322,0,83,26,8.1,1995
Kette,1998,344,,60,23,6.7,1995
Lindholm,1998,832,0,,67,8.1,1995
Tadel,1998,337,511,78,19,5.6,1995
Waalewijn,1998,1046,400,165,134,12.8,1995
Absalom,1999,260,0,59,26,10,1995
Bottinger,1999,338,243,129,48,14.2,1995
Kuilman,1999,898,0,441,276,30.7,1995
Lui,1999,744,0,89,12,1.6,1995
Stiell,1999,5335,0,366,197,3.7,1995
Sunde,1999,326,573,96,30,9.2,1995
Swor,2000,2608,108,538,189,7.2,2000
Valenzuela,2000,148,0,71,56,37.8,2000
Finn,2001,1293,,,85,6.6,2000
Groh,2001,388,0,61,21,5.4,2000
Jennings,2001,115,96,22,6,5.2,2000
Rea,2001,7265,,,1112,15.3,2000
Citerio,2002,178,0,,10,5.6,2000
Fan,2002,320,82,,4,1.3,2000
Lim,2002,93,0,15,1,1.1,2000
Myerberg,2002,738,0,,51,6.9,2000
Smith,2002,436,778,82,35,8,2000
Goto,2003,203,227,,20,9.9,2000
Grmec,2003,216,,128,44,20.4,2000
Haukoos,2003,575,0,,25,4.3,2000
Nishiuchi,2003,974,176,236,50,5.1,2000
Ong,2003,351,,30,7,2,2000
Horsted,2004,219,233,82,25,11.4,2000
Rudner,2004,147,150,43,15,10.2,2000
Davies,2005,172,4,,39,22.7,2005
Handel,2005,84,79,26,12,14.3,2005
Hayashi,2005,179,0,,2,1.1,2005
White,2005,326,0,158,85,26.1,2005
Drezner,2006,9,0,,1,11.1,2005
Kellum,2006,358,169,,39,10.9,2005
Pleskot,2006,560,144,149,53,9.5,2005
Davis,2007,1095,46,197,47,4.3,2005
Daya,2007,7478,6052,,568,7.6,2005
Dunne,2007,471,51,28,1,0.2,2005
Estner,2007,412,277,180,47,11.4,2005
Fairbanks,2007,539,277,,27,5,2005
Herlitz,2007,38413,,,2114,5.5,2005
Hostler,2007,9886,,,727,7.4,2005
Iwami,2007,12437,,,433,3.5,2005
Ma,2007,1423,86,242,80,5.6,2005
Morrison,2007,4673,40,671,239,5.1,2005
Fleischhackl,2008,62,,,17,27,2005
